"uid","namedLocation","domainID","siteID","plotID","date","editedDate","individualID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","patchSize","percentCover","height","diseaseType","samplingProtocolVersion","measuredBy","recordedBy","remarks","dataQF"
"2263ac52-61a2-4405-bb32-9e59ec8c754e","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06032","Individual","Mostly shaded","live",NA,NA,0.6,0.4,NA,NA,0.4,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"6dc1e8c8-642d-487d-a7e9-110094557938","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06009","Individual","Full shade","live",NA,NA,0.6,0.5,NA,NA,0.4,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"782c57bc-fb29-4a2a-8822-6c9cadd51645","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06036","Individual","Open Grown","live",1.6,130,0.7,0.7,NA,NA,2,"insect",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"4bfe2476-7626-4d19-ad54-1b8b9c4da12e","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06028","Individual","Partially shaded","live",12,130,3.3,2.9,NA,NA,9,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"ea578269-c58a-43b9-9396-9fa9e54bc9fa","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06043","Individual","Mostly shaded","live",NA,NA,1.1,0.9,NA,NA,0.5,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"3f4d75d3-2e2b-44f9-97a0-c06975ead17f","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06052","Individual","Partially shaded","live",20,130,8.1,5.1,NA,NA,11.2,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"b1ac91c5-1c85-44e4-a97e-eba6ba0f2e0d","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06048","Individual","Full sun","live",24,130,8.9,8.8,NA,NA,11.1,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"f8212d1b-a252-408a-a3de-8489eb25f4b3","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06021","Individual","Full sun","live",47,130,12.7,12,NA,NA,14.2,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"b6d6d36f-b525-474c-b691-40aaf513b702","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06026","Individual","Full shade","live",NA,NA,1,1,NA,NA,0.5,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
"14bfda6e-1cb3-4a21-ae01-eef106b2f254","OSBS_045.phenology.phe","D03","OSBS","OSBS_045","2014-09-22","2015-03-12","NEON.PLA.D03.OSBS.06064","Individual","Open Grown","live",7,130,2.8,1.3,NA,NA,5.8,"",NA,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",NA,NA
