"uid","namedLocation","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","subtypeSpecification","transectMeter","directionFromTransect","ninetyDegreeDistance","sampleLatitude","sampleLongitude","sampleGeodeticDatum","sampleCoordinateUncertainty","sampleElevation","sampleElevationUncertainty","date","editedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","vstTag","samplingProtocolVersion","measuredBy","identifiedBy","recordedBy","remarks","dataQF"
"4c310c07-238d-4f21-b5d4-ad2adb67da88","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",341,"Left",3.7,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06037","QULA2","Quercus laevis Walter",NA,"species","Deciduous broadleaf",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"5ac726a0-0881-439b-97b6-2409c67753da","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",686,"Right",4,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06081","QULA2","Quercus laevis Walter",NA,"species","Deciduous broadleaf",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"c908f0d9-384b-4f73-bb7b-b04972f8b886","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",625,"Right",4.5,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06071","PIPA2","Pinus palustris Mill.",NA,"species","Pine",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"fa5673cf-e880-40ee-830c-77a064360e2e","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",514,"Left",5,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06058","QULA2","Quercus laevis Walter",NA,"species","Deciduous broadleaf",NA,"NEON.DOC.014040vD","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"dfc0d0e3-3df0-4a70-b8b8-bf99ebb1f940","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",765,"Right",5.3,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06088","PIPA2","Pinus palustris Mill.",NA,"species","Pine",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"3a41f9d9-866a-4e0e-aa56-b1580a06fe63","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",613,"Right",8.7,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06067","QULA2","Quercus laevis Walter",NA,"species","Deciduous broadleaf",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"09019f61-ebba-4b18-829b-d59c5084dcec","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",667,"Left",5.9,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06078","ARBE7","Aristida beyrichiana Trin. & Rupr.",NA,"species","Graminoid",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"6d15ee23-4b92-4258-95c0-fa8c9baa81a2","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",726,"Right",2.8,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06082","QULA2","Quercus laevis Walter",NA,"species","Deciduous broadleaf",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"e1c24a32-295e-49bd-9581-2c16fb0ced41","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",616,"Right",5.4,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06069","ARBE7","Aristida beyrichiana Trin. & Rupr.",NA,"species","Graminoid",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
"fe48641f-4b92-46af-9d7d-3a9b23b8f473","OSBS_045.phenology.phe","D03","OSBS","OSBS_045",29.689683,-81.990336,NA,NA,46.6,NA,"primary",635,"Right",1.7,NA,NA,"WGS84",NA,NA,NA,"2013-09-19","2017-08-07","NEON.PLA.D03.OSBS.06073","ARBE7","Aristida beyrichiana Trin. & Rupr.",NA,"species","Graminoid",NA,"NEON.DOC.014040vD","q+sogNxuTpaaq3nt4H3feKdAxSnPr68l","Kk15Cx6e6Rq5TM+49BKqxg==","","no entry",NA
